cpo_id,session_price,price,time_price,fair_use_price,plug_type,currency,group
BEALLE,1.5,0.54,0.0,0,AC,CHF,RIGI_CUSTOMER
DEALLE,1.5,0.54,0.0,0,AC,CHF,RIGI_CUSTOMER
DKALLE,1.5,0.54,0.0,0,AC,CHF,RIGI_CUSTOMER
FRALLE,1.5,0.54,0.0,0,AC,CHF,RIGI_CUSTOMER
FRLPIE,1.5,0.54,0.0,0,AC,CHF,RIGI_CUSTOMER
GBALLE,1.5,0.54,0.0,0,AC,CHF,RIGI_CUSTOMER
NLALLE,1.5,0.54,0.0,0,AC,CHF,RIGI_CUSTOMER
NLLPIE,1.5,0.54,0.0,0,AC,CHF,RIGI_CUSTOMER
SEALLE,1.5,0.54,0.0,0,AC,CHF,RIGI_CUSTOMER
IT*AXS,1.5,0.61,0.0,0,AC,CHF,RIGI_CUSTOMER
IT*BEC,1.5,0.61,0.0,0,AC,CHF,RIGI_CUSTOMER
BE*BCA,1.5,0.61,0.0,0,AC,CHF,RIGI_CUSTOMER
DE*RBO,1.5,0.61,0.08,0,AC,CHF,RIGI_CUSTOMER
ES*RBO,1.5,0.61,0.08,0,AC,CHF,RIGI_CUSTOMER
FR*RBO,1.5,0.61,0.08,0,AC,CHF,RIGI_CUSTOMER
CZ*CEZ,1.5,0.61,0.08,0,AC,CHF,RIGI_CUSTOMER
DE*BDO,1.5,0.54,0.0,0,AC,CHF,RIGI_CUSTOMER
DE*FHG,1.5,0.54,0.0,0,AC,CHF,RIGI_CUSTOMER
DE*SLB,1.5,0.54,0.0,0,AC,CHF,RIGI_CUSTOMER
LU*CHY,1.5,0.76,0.0,0,AC,CHF,RIGI_CUSTOMER
DK*CLE,1.5,0.76,0.0,0,AC,CHF,RIGI_CUSTOMER
DECCH*,3.4,0.82,0.0,0,AC,CHF,RIGI_CUSTOMER
DE*CPO,1.5,0.52,0.0,0,AC,CHF,RIGI_CUSTOMER
DE*EON,1.5,0.52,0.0,0,AC,CHF,RIGI_CUSTOMER
DE*ISE,1.5,0.52,0.0,0,AC,CHF,RIGI_CUSTOMER
IT*DUF,1.5,0.72,0.0,0,AC,CHF,RIGI_CUSTOMER
DE*APC,1.5,0.58,0.14,180,AC,CHF,RIGI_CUSTOMER
DE*EDR,1.5,0.58,0.14,180,AC,CHF,RIGI_CUSTOMER
DE*UFC,1.5,0.58,0.14,180,AC,CHF,RIGI_CUSTOMER
