"e.xpand Einkaufspreise
e.xpand purchase price",,"AC (netto, inkl. Verwaltungsgebühr)
(excl. taxes, incl. Administration fee)",,,,"DC (netto, inkl. Verwaltungsgebühr)
(excl. taxes, incl. Administration fee)",,,,"EKP Chargecloud
AC (netto, inkl. Verwaltungsgebühr, BKW Zürich)",,,,"EKP Chargecloud
DC (netto, inkl. Verwaltungsgebühr, BKW Zürich)",,,,"AMAG Marge
DC (netto, inkl. Verwaltungsgebühr, BKW Zürich)",,,,"Verkaufspreis AMAG 
AC, inkl. CH MWSt.",,,,"Verkaufspreis AMAG
DC, inkl. CH MWSt.",,,,,Off. Wechselkurs,1.0254,01.06.22,
Operator,external ID, Session fee , kwh , min ,Fair Use [min], Session fee , kwh , min ,Fair Use [min],Session fee,kwh,min,Fair Use [min],Session fee,kwh,min,Fair Use [min],Session fee,kwh,min,Fair Use [min],Session fee,kwh,min,Fair Use [min],Session fee,kwh,min,Fair Use [min],,BKW Kurs,1.0174,(Bisheriger Wechselkurs; keine Anpassung),
"Fallbackpreis für neue Standorte
Fallback price for new charging stations",0, -   € , 0.319 € , -   € ,0, -   € , 0.378 € , -   € ,0,0.000 CHF,0.635 CHF,0.000 CHF,0,0.000 CHF,0.671 CHF,0.000 CHF,0,1.393 CHF,0.050 CHF,0.000 CHF,CHF 0.00,1.500 CHF,0.740 CHF,0.000 CHF,0,1.500 CHF,0.780 CHF,0.000 CHF,0,,AMAG Preisstrategie Kosten+,,,
Allego GmbH,DEALL, -   € , 0.408 € , -   € ,0, -   € , 0.672 € , -   € ,0,0.000 CHF,0.450 CHF,0.000 CHF,0,0.000 CHF,0.450 CHF,0.000 CHF,0,1.393 CHF,0.050 CHF,0.000 CHF,CHF 0.00,1.500 CHF,0.540 CHF,0.000 CHF,0,1.500 CHF,0.540 CHF,0.000 CHF,0,,pro kWh,CHF 0.05,Marge + runden auf 0.01,
Axpo Energy Solutions Italia S.p.A.,IT*AXS, -   € , 0.504 € , 0.012 € ,0, -   € , 0.504 € , 0.012 € ,0,0.000 CHF,0.513 CHF,0.000 CHF,0,0.000 CHF,0.757 CHF,0.000 CHF,0,1.393 CHF,0.050 CHF,0.000 CHF,CHF 0.00,1.500 CHF,0.610 CHF,0.000 CHF,0,1.500 CHF,0.870 CHF,0.000 CHF,0,,Session fee,CHF 1.39,Aufrunden auf 0.1 + 1.5 CHF,
Be Charge s.r.l.,IT*BEC, -   € , 0.480 € , 0.060 € ,240, -   € , 0.672 € , 0.216 € ,90,0.000 CHF,0.513 CHF,0.000 CHF,0,0.000 CHF,0.757 CHF,0.000 CHF,0,1.393 CHF,0.050 CHF,0.000 CHF,CHF 0.00,1.500 CHF,0.610 CHF,0.000 CHF,0,1.500 CHF,0.870 CHF,0.000 CHF,0,,pro min,CHF 0.00,runden auf 0.1,
Blue Corner,BE*BCA, 0.300 € , 0.312 € , 0.024 € ,180, 0.300 € , 0.576 € , 0.156 € ,30,0.000 CHF,0.513 CHF,0.000 CHF,0,0.000 CHF,0.757 CHF,0.000 CHF,0,1.393 CHF,0.050 CHF,0.000 CHF,CHF 0.00,1.500 CHF,0.610 CHF,0.000 CHF,0,1.500 CHF,0.870 CHF,0.000 CHF,0,,Fair use,CHF 0.00,1 zu 1 übernehmen,
Bosch Charging Solutions GmbH,DE*RBO, -   € , 0.420 € , -   € ,0, 12.000 € , -   € , -   € ,0,0.000 CHF,0.513 CHF,0.073 CHF,0,0.000 CHF,0.635 CHF,0.183 CHF,0,1.393 CHF,0.050 CHF,0.000 CHF,CHF 0.00,1.500 CHF,0.610 CHF,0.080 CHF,0,1.500 CHF,0.740 CHF,0.200 CHF,0,,MWSt. CH,1.077,in alle Länder,
"CEZ, a. s",CZ*CEZ, -   € , 0.384 € , -   € ,0, -   € , 0.528 € , -   € ,0,0.000 CHF,0.513 CHF,0.073 CHF,0,0.000 CHF,0.635 CHF,0.183 CHF,0,1.393 CHF,0.050 CHF,0.000 CHF,CHF 0.00,1.500 CHF,0.610 CHF,0.080 CHF,0,1.500 CHF,0.740 CHF,0.200 CHF,0,,,,,
chargeIT mobility (Belectric Drive),DE*BDO, 0.432 € , 0.454 € , 0.031 € ,0, 0.360 € , 0.660 € , 0.050 € ,0,0.000 CHF,0.450 CHF,0.000 CHF,0,0.000 CHF,0.450 CHF,0.000 CHF,0,1.393 CHF,0.050 CHF,0.000 CHF,CHF 0.00,1.500 CHF,0.540 CHF,0.000 CHF,0,1.500 CHF,0.540 CHF,0.000 CHF,0,,,,,
Chargy,LU*CHY, -   € , 0.332 € , -   € ,0, -   € , 0.473 € , -   € ,0,0.000 CHF,0.656 CHF,0.000 CHF,0,0.000 CHF,0.656 CHF,0.164 CHF,0,1.393 CHF,0.050 CHF,0.000 CHF,CHF 0.00,1.500 CHF,0.760 CHF,0.000 CHF,0,1.500 CHF,0.760 CHF,0.180 CHF,0,,,,,
Clever A/S,DK*CLE, -   € , 0.516 € , -   € ,0, -   € , 0.708 € , -   € ,0,0.000 CHF,0.656 CHF,0.000 CHF,0,0.000 CHF,0.656 CHF,0.164 CHF,0,1.393 CHF,0.050 CHF,0.000 CHF,CHF 0.00,1.500 CHF,0.760 CHF,0.000 CHF,0,1.500 CHF,0.760 CHF,0.180 CHF,0,,,,,
Comfortcharge GmbH,DECCH, -   € , 0.492 € , 0.024 € ,180, -   € , 0.708 € , 0.120 € ,60,1.709 CHF,0.708 CHF,0.000 CHF,0,1.709 CHF,0.733 CHF,0.000 CHF,0,1.393 CHF,0.050 CHF,0.000 CHF,CHF 0.00,3.400 CHF,0.820 CHF,0.000 CHF,0,3.400 CHF,0.850 CHF,0.000 CHF,0,,,,,
Compleo Charging Technologies GmbH,DE*ISE, -   € , 0.444 € , 0.060 € ,120, -   € , 0.588 € , 0.120 € ,60,0.000 CHF,0.427 CHF,0.000 CHF,0,0.000 CHF,0.610 CHF,0.000 CHF,0,1.393 CHF,0.050 CHF,0.000 CHF,CHF 0.00,1.500 CHF,0.520 CHF,0.000 CHF,0,1.500 CHF,0.720 CHF,0.000 CHF,0,,,,,
Duferco Energia Spa,IT*DUF, -   € , 0.600 € , -   € ,0, -   € , 0.660 € , -   € ,0,0.000 CHF,0.610 CHF,0.000 CHF,0,0.000 CHF,0.671 CHF,0.000 CHF,0,1.393 CHF,0.050 CHF,0.000 CHF,CHF 0.00,1.500 CHF,0.720 CHF,0.000 CHF,0,1.500 CHF,0.780 CHF,0.000 CHF,0,,,,,
