name,sub_cpo_id,external_id
Allego GmbH,BEALLE,DEALL
Allego GmbH,DEALLE,DEALL
Allego GmbH,DKALLE,DEALL
Allego GmbH,FRALLE,DEALL
Allego GmbH,FRLPIE,DEALL
Allego GmbH,GBALLE,DEALL
Allego GmbH,NLALLE,DEALL
Allego GmbH,NLLPIE,DEALL
Allego GmbH,SEALLE,DEALL
Alpiq E-Mobility AG,CH*E4U,CH*E4U
avency GmbH,DE*EAZ,DE*EAZ
Axpo Energy Solutions Italia S.p.A.,IT*AXS,IT*AXS
Be Power s.p.a.,IT*BEC,IT*BEC
BK Benzin-Kontor AG,DE*BKE,DE*BKE
Blue Corner,BE*BCA,BE*BCA
BMW (Schweiz) AG,CH*BMI,CH*BMI
Bosch Charging Solutions GmbH,DE*RBO,DE*RBO
Bosch Charging Solutions GmbH,ES*RBO,DE*RBO
Bosch Charging Solutions GmbH,FR*RBO,DE*RBO
"CEZ, a. s.",CZ*CEZ,CZ*CEZ
chargecloud GmbH,AT*037,DE*CHC
chargecloud GmbH,CH*ONE,DE*CHC
chargecloud GmbH,DE*136,DE*CHC
chargecloud GmbH,DE*1HD,DE*CHC
chargecloud GmbH,DE*217,DE*CHC
chargecloud GmbH,DE*333,DE*CHC
chargecloud GmbH,DE*574,DE*CHC
chargecloud GmbH,DE*674,DE*CHC
chargecloud GmbH,DE*738,DE*CHC
chargecloud GmbH,DE*753,DE*CHC
chargecloud GmbH,DE*951,DE*CHC
chargecloud GmbH,DE*AEG,DE*CHC
chargecloud GmbH,DE*AUW,DE*CHC
chargecloud GmbH,DE*BOH,DE*CHC
chargecloud GmbH,DE*CHC,DE*CHC
chargecloud GmbH,DE*CHO,DE*CHC
chargecloud GmbH,DE*CM1,DE*CHC
chargecloud GmbH,DE*DBE,DE*CHC
chargecloud GmbH,DE*DEW,DE*CHC
chargecloud GmbH,DE*EDL,DE*CHC
chargecloud GmbH,DE*EDS,DE*CHC
chargecloud GmbH,DE*EFA,DE*CHC
chargecloud GmbH,DE*EIN,DE*CHC
chargecloud GmbH,DE*EKE,DE*CHC
chargecloud GmbH,DE*END,DE*CHC
chargecloud GmbH,DE*ETA,DE*CHC
chargecloud GmbH,DE*ETT,DE*CHC
chargecloud GmbH,DE*EWB,DE*CHC
chargecloud GmbH,DE*EWP,DE*CHC
chargecloud GmbH,DE*GOE,DE*CHC
chargecloud GmbH,DE*HEO,DE*CHC
chargecloud GmbH,DE*IBC,DE*CHC
chargecloud GmbH,DE*ING,DE*CHC
chargecloud GmbH,DE*KEB,DE*CHC
chargecloud GmbH,DE*KIE,DE*CHC
chargecloud GmbH,DE*KKE,DE*CHC
chargecloud GmbH,DE*LA1,DE*CHC
chargecloud GmbH,DE*LDK,DE*CHC
chargecloud GmbH,DE*LSB,DE*CHC
chargecloud GmbH,DE*LVP,DE*CHC
chargecloud GmbH,DE*MNV,DE*CHC
chargecloud GmbH,DE*MS1,DE*CHC
chargecloud GmbH,DE*MVV,DE*CHC
chargecloud GmbH,DE*NMS,DE*CHC
chargecloud GmbH,DE*NOM,DE*CHC
chargecloud GmbH,DE*NRW,DE*CHC
chargecloud GmbH,DE*OPE,DE*CHC
chargecloud GmbH,DE*OVA,DE*CHC
chargecloud GmbH,DE*PIO,DE*CHC
chargecloud GmbH,DE*PSG,DE*CHC
chargecloud GmbH,DE*REC,DE*CHC
chargecloud GmbH,DE*RWE,DE*CHC
chargecloud GmbH,DE*SAB,DE*CHC
chargecloud GmbH,DE*SBH,DE*CHC
chargecloud GmbH,DE*SFT,DE*CHC
chargecloud GmbH,DE*SLM,DE*CHC
chargecloud GmbH,DE*SOL,DE*CHC
chargecloud GmbH,DE*SPF,DE*CHC
chargecloud GmbH,DE*SRA,DE*CHC
chargecloud GmbH,DE*SZB,DE*CHC
chargecloud GmbH,DE*TNK,DE*CHC
chargecloud GmbH,DE*TRO,DE*CHC
chargecloud GmbH,DE*TUE,DE*CHC
chargecloud GmbH,DE*TWL,DE*CHC
chargecloud GmbH,DE*WER,DE*CHC
chargeIQ GmbH,DE*CIQ,DE*CIQ
chargeIT mobility,+49*822,DE*BDO
chargeIT mobility,DE*BDO,DE*BDO
chargeIT mobility,DE*FHG,DE*BDO
chargeIT mobility,DE*SLB,DE*BDO
ChargeNet NZ,NZ*CHN,NZ*ChN
Chargepartner Network GmbH,DE*247,DE*247
ChargePoint Network (Netherlands) B.V.,ATCPIE,NL*CPI
ChargePoint Network (Netherlands) B.V.,CHCPIE,NL*CPI
ChargePoint Network (Netherlands) B.V.,DECPIE,NL*CPI
ChargePoint Network (Netherlands) B.V.,ESCPIE,NL*CPI
ChargePoint Network (Netherlands) B.V.,FRCPIE,NL*CPI
ChargePoint Network (Netherlands) B.V.,GBCPIE,NL*CPI
ChargePoint Network (Netherlands) B.V.,IECPIE,NL*CPI
ChargePoint Network (Netherlands) B.V.,ITCPIE,NL*CPI
ChargePoint Network (Netherlands) B.V.,LICPIE,NL*CPI
ChargePoint Network (Netherlands) B.V.,LUCPIE,NL*CPI
ChargePoint Network (Netherlands) B.V.,NLCPIE,NL*CPI
Chargy,LU*CHY,LU*CHY
Clever A/S,DK*CLE,DK*CLE
CleverPower a.s.,CZ*777,CZ*777
Columbus Energy S.A.,PL*NXG,PL*NXG
Comfortcharge GmbH,DECCH*,DECCH
Commercial Charger GmbH,DE*EGO,DE*EGO
Compleo Charging Technologies GmbH,+49*809,DE*ISE
Compleo Charging Technologies GmbH,DE*CPO,DE*ISE
Compleo Charging Technologies GmbH,DE*EON,DE*ISE
Compleo Charging Technologies GmbH,DE*ISE,DE*ISE
ConnectNed,NL*CON,NL*CON
Cooperatie AVIA Nederland U.A.,NL*AVI,NL*AVI
CPO-App,DE*APP,DE*APP
Cross Market Places GmbH,DE*CMP,DE*CMP
Duferco Energia Spa,IT*DUF,IT*DUF
E.ON Drive Germany,DE*APC,DE*EDR
E.ON Drive Germany,DE*EDR,DE*EDR
